Datetime,NO2,Ozone,CO,SO2,AT,RH,PM2.5,PM10
05-07-2022 12:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
05-07-2022 13:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
05-07-2022 14:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
05-07-2022 15:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
05-07-2022 16:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
05-07-2022 17:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
05-07-2022 18:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
05-07-2022 19:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
05-07-2022 20:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
05-07-2022 21:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
05-07-2022 22:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
05-07-2022 23:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 00:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 01:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 02:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 03:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 04:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 05:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 06:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 07:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 08:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 09:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 10:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 11:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 12:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 13:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 14:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 15:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 16:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 17:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 18:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 19:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 20:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 21:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 22:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
06-07-2022 23:00,2.1755232,1.171428632,233.0435842,4.965645867,23.33662516,72.36183352,11.88380751,19.94398114
07-07-2022 00:00,1.94788125,11.79683176,85.37908253,3.028314655,18.9425,87.84,2.19793284,4.1068366
07-07-2022 01:00,1.97505,11.79552217,75.03010283,3.003603325,18.7275,88.285,1.3259404,2.8907345
07-07-2022 02:00,1.94551875,12.39793587,59.50663328,2.977715265,18.1275,90.79,0.54281796,1.747997248
07-07-2022 03:00,2.093530907,7.286009316,139.9086576,3.977693968,19.88650162,81.88695722,6.500229999,10.682162
07-07-2022 04:00,2.235636815,1.083190134,233.2469065,4.975907576,21.84800323,72.28391443,12.50776472,20.10994458
07-07-2022 05:00,25.88567625,13.36232162,5.17448985,3.051025544,19.572,85.742,5.72482766,3.646711412
07-07-2022 06:00,1.9443375,5.64959283,33.63418403,2.92064386,25.215,67.91,0.97757,2.6116291
07-07-2022 07:00,1.8734625,5.57625551,108.6642869,2.98771747,26.7,61.36,0.4603466,2.392332
07-07-2022 08:00,1.81558125,6.6265507,217.3285737,2.96888979,27.6625,59.42,1.6147679,4.54343719
